date,mean_value
2023-11-30,133.70000000000002
2023-12-01,211.20416666666668
2023-12-02,244.17083333333335
2023-12-03,247.98333333333332
2023-12-04,109.32083333333331
2023-12-05,66.52916666666667
2023-12-06,68.65833333333335
2023-12-07,63.12083333333333
2023-12-08,66.20416666666667
2023-12-09,43.39166666666667
2023-12-10,230.75416666666663
2023-12-11,115.32916666666665
2023-12-12,200.4291666666667
2023-12-13,243.51249999999996
2023-12-14,152.775
2023-12-15,224.07916666666665
2023-12-16,53.70416666666668
2023-12-17,187.32916666666665
2023-12-18,274.0499999999999
2023-12-19,263.9208333333333
2023-12-20,185.31250000000009
2023-12-21,198.3375
2023-12-22,231.82500000000002
2023-12-23,259.72083333333336
2023-12-24,282.52083333333337
2023-12-25,257.09583333333336
2023-12-26,241.75833333333335
2023-12-27,254.76666666666668
2023-12-28,286.075
2023-12-29,201.17083333333335
2023-12-30,227.16666666666666
2023-12-31,253.6791666666667
2024-01-01,177.375
2024-01-02,250.19999999999996
2024-01-03,255.57916666666665
2024-01-04,247.6166666666666
2024-01-05,255.63333333333335
2024-01-06,203.38749999999996
2024-01-07,129.80833333333337
2024-01-08,205.74583333333337
2024-01-09,141.76666666666665
2024-01-10,164.75833333333335
2024-01-11,297.25416666666666
2024-01-12,310.4916666666667
2024-01-13,319.4708333333334
2024-01-14,259.825
2024-01-15,237.87916666666663
2024-01-16,244.3791666666667
2024-01-17,215.68333333333337
2024-01-18,161.8125
2024-01-19,236.88750000000002
2024-01-20,232.26250000000002
2024-01-21,96.44999999999999
2024-01-22,53.90416666666667
2024-01-23,69.00416666666668
2024-01-24,152.74583333333334
2024-01-25,257.9875
2024-01-26,276.99166666666673
2024-01-27,292.9666666666667
2024-01-28,135.75
2024-01-29,45.06666666666666
2024-01-30,60.83333333333334
2024-01-31,68.91666666666666
2024-02-01,240.8458333333333
2024-02-02,289.93333333333334
2024-02-03,285.30416666666673
2024-02-04,251.5916666666666
2024-02-05,250.11250000000007
2024-02-06,259.0249999999999
2024-02-07,243.83333333333337
2024-02-08,241.86250000000004
2024-02-09,238.22500000000005
2024-02-10,247.4708333333333
2024-02-11,246.8458333333333
2024-02-12,243.975
2024-02-13,198.63750000000002
2024-02-14,247.38749999999996
2024-02-15,63.633333333333326
2024-02-16,54.7125
2024-02-17,56.979166666666664
2024-02-18,136.94166666666666
2024-02-19,139.25
2024-02-20,79.99166666666666
2024-02-21,134.05416666666665
2024-02-22,175.67499999999998
2024-02-23,160.4875
2024-02-24,103.57916666666667
2024-02-25,82.9875
2024-02-26,80.45833333333336
2024-02-27,85.95416666666667
2024-02-28,92.30833333333334
2024-02-29,107.71666666666665
2024-03-01,103.65416666666665
2024-03-02,73.39583333333333
2024-03-03,163.33333333333334
2024-03-04,152.4166666666667
2024-03-05,104.45
2024-03-06,52.54166666666665
2024-03-07,53.82916666666667
2024-03-08,67.32916666666665
2024-03-09,267.22499999999997
2024-03-10,282.37500000000006
2024-03-11,194.64166666666668
2024-03-12,96.02499999999999
2024-03-13,91.07499999999999
2024-03-14,121.55416666666669
2024-03-15,107.06666666666665
2024-03-16,288.85
2024-03-17,290.35416666666663
2024-03-18,185.16666666666666
2024-03-19,219.86249999999998
2024-03-20,302.63333333333327
2024-03-21,284.9791666666667
2024-03-22,128.27916666666667
2024-03-23,58.479166666666664
2024-03-24,110.55833333333332
2024-03-25,157.9041666666667
2024-03-26,284.37916666666666
2024-03-27,242.06666666666663
2024-03-28,111.9375
2024-03-29,183.2541666666666
2024-03-30,216.69583333333335
2024-03-31,121.73333333333333
2024-04-01,166.27083333333331
2024-04-02,208.17083333333335
2024-04-03,276.95
2024-04-04,229.0041666666667
2024-04-05,231.33333333333334
2024-04-06,173.22916666666666
2024-04-07,108.13333333333333
2024-04-08,58.25000000000001
2024-04-09,56.370833333333344
2024-04-10,50.212500000000006
2024-04-11,55.3375
2024-04-12,175.35000000000002
2024-04-13,303.88750000000005
2024-04-14,283.3416666666667
2024-04-15,238.1875
2024-04-16,184.3708333333333
2024-04-17,229.4125
2024-04-18,199.57500000000002
2024-04-19,276.475
2024-04-20,109.92916666666667
2024-04-21,240.87083333333337
2024-04-22,192.6208333333333
2024-04-23,193.38750000000007
2024-04-24,110.46250000000002
2024-04-25,109.17916666666666
2024-04-26,190.00833333333335
2024-04-27,314.96666666666664
2024-04-28,295.4
2024-04-29,245.8958333333333
2024-04-30,55.78333333333334
2024-05-01,58.3125
2024-05-02,55.99166666666667
2024-05-03,92.21249999999999
2024-05-04,79.35
2024-05-05,58.04166666666666
2024-05-06,62.02916666666667
2024-05-07,138.04166666666669
2024-05-08,161.42500000000004
2024-05-09,78.18749999999999
2024-05-10,63.36666666666667
2024-05-11,55.63750000000001
2024-05-12,271.1458333333333
2024-05-13,323.0333333333333
2024-05-14,290.875
2024-05-15,297.80833333333334
2024-05-16,302.77500000000003
2024-05-17,125.5666666666667
2024-05-18,120.91666666666664
2024-05-19,142.9708333333333
2024-05-20,120.55
2024-05-21,92.00416666666668
2024-05-22,69.93749999999997
2024-05-23,73.26249999999999
2024-05-24,52.17916666666667
2024-05-25,57.77500000000001
2024-05-26,58.81666666666667
2024-05-27,64.57916666666667
2024-05-28,120.37500000000001
2024-05-29,270.50416666666666
2024-05-30,157.47083333333333
2024-05-31,150.88095238095238
